session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
348,24,2,0.8614325051582798,0.5103717973940474,0.0856886601586293,4e-06,0,6.496837394489346e-06,1.8120281473993505,1,0.38461538461538464
349,25,2,0.9218772367640878,0.4964190140216937,0.10137259445075544,4e-06,0,9.581707795665101e-06,1.7951329030159626,1,0.358974358974359
350,26,2,0.987710632049011,0.47045015216826674,0.2363341646498971,4e-06,0,0.0,1.7635682483552308,1,0.6153846153846154
351,0,3,0.6930464919962153,0.07811268417593062,0.061339129939840954,4e-06,1,0.17546478399430415,1.5751317141178598,0,0.6923076923076923
352,1,3,0.7128339858529842,0.10715802372785331,0.19733304614795658,4e-06,0,1.6077007582526334e-06,1.1607274292320409,1,0.5128205128205128
353,2,3,0.7453075928207835,0.1379361942801411,0.20734709051966282,4e-06,1,0.1151408113998908,1.4996453359641126,0,0.717948717948718
354,3,3,0.7543248438346903,0.26524237315597193,0.05585789094439318,4e-06,0,0.0,1.391497232501546,1,0.717948717948718
355,4,3,0.711528762523613,0.2424287762504655,0.14872264136866667,4e-06,1,0.18501096955727767,1.5371558730484196,0,0.23076923076923078
356,5,3,0.67287713886026,0.26596388121644315,0.3374273394524626,4e-06,0,0.0,1.3925011394901947,1,0.41025641025641024
357,6,3,0.6695923964552437,0.5173220773255774,0.05139672419983583,4e-06,0,0.0,1.7178638084685183,1,0.5128205128205128
358,7,3,0.7470202630603512,0.5057726335330455,0.18396156865242533,4e-06,0,7.432766126527532e-08,1.7036076024795221,1,0.6153846153846154
359,8,3,0.7150024860756936,0.5323353006723555,0.21340372765475435,4e-06,0,0.0,1.7363422310686962,1,0.5384615384615384
360,9,3,0.8558375317657909,0.09948886331987611,0.05849205764029969,4e-06,0,3.5420478031188133e-06,1.1492308014960042,1,0.41025641025641024
361,10,3,0.8889527628686923,0.10024845729873781,0.14388654416626356,4e-06,1,0.1716889472696533,1.2406411441502811,0,0.6153846153846154
362,11,3,0.8701219467350746,0.05,0.26945182033716136,4e-06,1,0.11438420947282892,1.8050303050863168,0,0.6923076923076923
363,12,3,0.8452332465068831,0.2850861444188165,0.0446403449295833,4e-06,0,0.0,1.4189135042535128,1,0.5128205128205128
364,13,3,0.8297358921611518,0.2881864830626399,0.1660889090754268,4e-06,1,0.23796405492554618,1.5138021573015108,0,0.8461538461538461
365,14,3,0.7873129163765821,0.2616542260255462,0.19720552876913602,4e-06,1,0.18340667032619856,1.644150875454162,0,0.5384615384615384
366,15,3,0.8551448636996506,0.5716085539872177,0.01699593338827083,4e-06,0,0.0,1.7844321797550624,1,0.358974358974359
367,16,3,0.8976555856116566,0.479113638452603,0.15671902285120343,4e-06,0,7.537235721726909e-07,1.6705475110764538,1,0.5128205128205128
368,17,3,0.8612782346957663,0.4790395869204551,0.24732038791897795,4e-06,0,8.040494301188332e-07,1.6704553713360981,1,0.1794871794871795
369,18,3,0.9680008269368733,0.09317741762068349,0.01,4e-06,1,0.23018723614668146,1.5845238818319327,0,0.6666666666666666
370,19,3,0.964581001519712,0.0782195470689707,0.14158198659485807,4e-06,1,0.20027559815873391,1.2470374399664745,0,0.5641025641025641
371,20,3,0.9284875461457144,0.13685262436840454,0.23081489827337573,4e-06,1,0.15558570936428057,1.3472283643514256,0,0.46153846153846156
372,21,3,0.9284673518855368,0.25743842682555623,0.04575813493568594,4e-06,0,0.0,1.3806043399722352,1,0.46153846153846156
373,22,3,0.8870988699999023,0.208541529059091,0.13404367518171728,4e-06,1,0.2555097691057232,1.3810245787952518,0,0.6153846153846154
374,23,3,0.966408480627182,0.23602695505425766,0.32123819650079294,4e-06,1,0.22401571543412588,1.5569026295004,0,0.358974358974359
375,24,3,0.9048818790597732,0.48519795978851965,0.054242584200216326,4e-06,0,2.5259235366609712e-06,1.6781135719762796,1,0.38461538461538464
376,25,3,0.9594730446715211,0.5570872238682251,0.1363968510489422,4e-06,0,0.0,1.7666891745107076,1,0.358974358974359
377,26,3,0.94344185999892,0.4825711943440555,0.18172790788834742,4e-06,1,0.34545633958869426,1.9258500662318474,1,0.5897435897435898
378,0,2,0.695473263610844,0.06961948445835515,0.05379790130833081,4e-06,0,1.079324224402297e-06,1.1392393933929459,1,0.717948717948718
379,1,2,0.7242516462443482,0.05984852766028467,0.18141945858221276,4e-06,1,0.24252691603438425,1.5020953762709541,0,0.48717948717948717
380,2,2,0.6734919436657893,0.15768838582199732,0.28382064284927266,4e-06,1,0.2380600285129674,1.36495037905145,0,0.717948717948718
381,3,2,0.6788291077320042,0.2521982594375709,0.051125696970187956,4e-06,0,0.0,1.4763016015547044,1,0.717948717948718
382,4,2,0.6987666994366326,0.24356874670884657,0.1067406379307996,4e-06,0,0.0,1.4629479037952853,1,0.2564102564102564
383,5,2,0.6452666280979552,0.24431333465382166,0.22540738213687467,4e-06,0,0.0,1.4641114055192812,1,0.41025641025641024
384,6,2,0.6844546727573272,0.5443218099492401,0.06519749462570762,4e-06,1,0.2915776039495209,1.8413728661164568,1,0.48717948717948717
385,7,2,0.6690139257495175,0.48269010885867397,0.15941457060321365,4e-06,0,0.0,1.7784646379736724,1,0.6153846153846154
386,8,2,0.7357142326529181,0.47676469815459815,0.2314316034222591,4e-06,1,0.2556327272435172,1.818285834154346,1,0.5128205128205128
387,9,2,0.8939676622219125,0.1188638888083091,0.10129831862036213,4e-06,0,2.1401712133961793e-06,1.237534552661544,1,0.41025641025641024
388,10,2,0.8087713187227064,0.10211257381981867,0.114713990500697,4e-06,0,2.0874382131022154e-06,1.2041842219958294,1,0.6410256410256411
389,11,2,0.807713805034469,0.0684433818130476,0.24567146864439235,4e-06,1,0.2414680054907027,1.2722463402464907,0,0.6923076923076923
390,12,2,0.8836850783655052,0.22246739387747458,0.13428706910289176,4e-06,1,0.26592995551184134,1.3966444390010702,0,0.48717948717948717
391,13,2,0.8319446219614242,0.2521605292575116,0.11113976446601895,4e-06,1,0.2708120298122954,1.538851810538397,0,0.8461538461538461
392,14,2,0.8947800272321166,0.25890747612208337,0.20959592353661305,4e-06,0,0.0,1.4864966512132247,1,0.5641025641025641
393,15,2,0.9084942105389344,0.5242758419555952,0.052863171154632085,4e-06,0,3.896522527251474e-06,1.8288308858906657,1,0.358974358974359
394,16,2,0.8106633608536388,0.5206328339479962,0.18638651075169466,4e-06,0,4.529879682797208e-06,1.8244312695168996,1,0.5128205128205128
395,17,2,0.8620620922725162,0.5304654564944878,0.20024993303253263,4e-06,1,0.25443859949968756,2.0600026270690117,1,0.15384615384615385
396,18,2,0.9609536959323383,0.09097706245459795,0.01,4e-06,1,0.45127055196778776,1.480639341135741,0,0.6666666666666666
397,19,2,0.9440771038180897,0.08309585723724791,0.13670963540275596,4e-06,0,0.0,1.1661852396315004,1,0.5897435897435898
398,20,2,0.9676981841987884,0.0908671971143,0.23771053214895993,4e-06,0,0.0,1.1817231230990224,1,0.48717948717948717
399,21,2,0.9690814050890583,0.24998310708631125,0.051190805797926855,4e-06,0,0.0,1.4729006143046015,1,0.46153846153846156
400,22,2,0.87188737879807,0.1907849839042311,0.1582141153597056,4e-06,1,0.28495438430026604,1.7723400882563811,0,0.6153846153846154
